Title:,"Time Series, Area-Averaged of Total Surface Mass Concentration - PM2.5, time average hourly 0.5 x 0.625 (hourly)"
User Start Date:,2018-01-01T00:00:00Z
User End Date:,2025-01-31T23:59:59Z
User Bounding Box:,"90.1,23.5,90.8,24.1"
Data Bounding Box:,"90.625,23.5,90.625,24"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2018-01-01T00:00:00Z&endtime=2025-01-31T23:59:59Z&bbox=90.1,23.5,90.8,24.1&data=M2T1NXAER_5_12_4_TOTSMASS25%2CM2T1NXAER_5_12_4_TOTEXTTAU%2CM2T1NXAER_5_12_4_TOTCMASS25&dataKeyword=AOD&portal=GIOVANNI&format=json"
Fill Value (mean_M2T1NXAER_5_12_4_TOTSMASS25):, 999999986991104

time, mean_M2T1NXAER_5_12_4_TOTSMASS25
2018-01-06 05:30:00,9.24127083e-08
2018-01-06 06:30:00,6.52300387e-08
2018-01-06 07:30:00,6.08981373e-08
2018-01-06 08:30:00,5.78167119e-08
2018-01-06 09:30:00,5.54831725e-08
2018-01-06 10:30:00,5.41276746e-08
2018-01-06 11:30:00,5.39839302e-08
2018-01-06 12:30:00,5.48922479e-08
2018-01-06 13:30:00,5.75016129e-08
2018-01-06 14:30:00,6.18859108e-08
2018-01-06 15:30:00,6.76167993e-08
2018-01-06 16:30:00,7.42256828e-08
2018-01-06 17:30:00,8.09054099e-08
2018-01-06 18:30:00,8.68998976e-08
2018-01-06 19:30:00,9.18762958e-08
2018-01-06 20:30:00,9.59316442e-08
2018-01-06 21:30:00,9.92123356e-08
2018-01-06 22:30:00,1.01854967e-07
2018-01-06 23:30:00,1.0369718e-07
2018-01-07 00:30:00,1.04945366e-07
2018-01-07 01:30:00,1.06143031e-07
2018-01-07 02:30:00,1.03149679e-07
2018-01-07 03:30:00,1.09323793e-07
2018-01-07 04:30:00,1.03981148e-07
2018-01-07 05:30:00,9.79429087e-08
2018-01-07 06:30:00,9.25810405e-08
2018-01-07 07:30:00,8.84572693e-08
2018-01-07 08:30:00,8.64335993e-08
2018-01-07 09:30:00,1.1558942e-07
2018-01-07 10:30:00,1.19000531e-07
2018-01-07 11:30:00,1.24120953e-07
2018-01-07 12:30:00,1.3024842e-07
2018-01-07 13:30:00,1.37304518e-07
2018-01-07 14:30:00,1.45317413e-07
2018-01-07 15:30:00,1.53827325e-07
2018-01-07 16:30:00,1.6178334e-07
2018-01-07 17:30:00,1.68493228e-07
2018-01-07 18:30:00,1.73552404e-07
2018-01-07 19:30:00,1.768022e-07
2018-01-07 20:30:00,1.78179497e-07
2018-01-07 21:30:00,1.77584461e-07
2018-01-07 22:30:00,1.74639786e-07
2018-01-07 23:30:00,1.69036122e-07
2018-01-08 00:30:00,1.62074581e-07
2018-01-08 01:30:00,1.53607612e-07
2018-01-08 02:30:00,1.42402907e-07
2018-01-08 03:30:00,1.2978621e-07
2018-01-08 04:30:00,1.32483722e-07
2018-01-08 05:30:00,1.23793698e-07
2018-01-08 06:30:00,9.25130271e-08
2018-01-08 07:30:00,8.70610897e-08
2018-01-08 08:30:00,8.33580259e-08
2018-01-08 09:30:00,8.05112308e-08
2018-01-08 10:30:00,8.10301448e-08
2018-01-08 11:30:00,8.33608484e-08
2018-01-08 12:30:00,8.67829859e-08
2018-01-08 13:30:00,9.12942994e-08
2018-01-08 14:30:00,9.71772018e-08
2018-01-08 15:30:00,1.04625027e-07
2018-01-08 16:30:00,1.13252723e-07
2018-01-08 17:30:00,1.22519161e-07
2018-01-08 18:30:00,1.31534234e-07
2018-01-08 19:30:00,1.3923564e-07
2018-01-08 20:30:00,1.45162134e-07
2018-01-08 21:30:00,1.49442017e-07
2018-01-08 22:30:00,1.52775183e-07
