date,pm2_5_mean,pm2_5_max,wind_speed_mean,wind_u_mean,wind_v_mean,temperature_mean,rh_mean,blh_mean,precip_sum,aod_extinction,merra2_surf_pm25_ugm3,aod_missing,pm25_lag7,season
9/10/2022,18.54166667,27.9,9.608333333,6.39125115,-5.039534687,28.20416667,84.20833333,547.2916667,18.1,0.183862699,11.11740238,0,22.9375,Monsoon
9/11/2022,10.55416667,13.5,15.40416667,11.00147999,-10.06849452,26.11666667,90.58333333,614.7916667,21.4,0.147096149,15.29130522,0,22.08333333,Monsoon
9/12/2022,9.3875,14.5,15.1375,10.47786133,-10.68389874,25.225,92.875,467.7083333,25.5,0.158180901,16.75689591,0,15.95833333,Monsoon
9/13/2022,10.46666667,16.2,13.9625,8.460147942,-10.65543481,25.00416667,94.20833333,417.5,52.6,0.183716625,20.00664425,0,18.7375,Monsoon
9/14/2022,10.81666667,15.1,12.25416667,4.526441851,-10.79256138,24.88333333,94.75,354.5833333,43.8,0.152532293,13.4712189,0,24.01666667,Monsoon
9/15/2022,18.45416667,27,10.225,-1.572537441,-9.628542666,26.82916667,86.45833333,387.2916667,6.9,0.214695438,14.20170074,0,34.425,Monsoon
9/16/2022,32.79583333,42.6,7.245833333,0.536351567,-6.802616317,26.875,89.125,362.7083333,17,0.200217855,16.76496255,0,31.73333333,Monsoon
9/17/2022,29.375,48.9,6.870833333,1.086598823,-6.079363441,28.14166667,85.16666667,407.7083333,13.4,0.16426169,13.87458238,0,18.54166667,Monsoon
9/18/2022,27.57916667,35.5,5.108333333,2.282248673,-2.801681857,28.4125,86.45833333,223.75,3.6,0.181782374,18.83375438,0,10.55416667,Monsoon
9/19/2022,16.3,28.5,11.7875,9.157834017,-5.821909376,27.95,84.25,525.4166667,16.4,0.100450726,11.55153877,0,9.3875,Monsoon
9/20/2022,10.7375,13.7,18.65,12.10780874,-13.35735139,28.18333333,80.66666667,758.3333333,2.7,0.144230699,14.91879501,0,10.46666667,Monsoon
9/21/2022,12.95833333,17.1,14.40833333,6.825492149,-12.28666434,28.1,81.79166667,627.5,2,0.171014771,16.0801187,0,10.81666667,Monsoon
9/22/2022,20.35416667,28.5,10.62083333,3.205876153,-9.413091605,28.17916667,83,508.125,3.9,0.226690369,25.97524692,0,18.45416667,Monsoon
9/23/2022,24.275,35.5,8.291666667,1.293542575,-7.890027571,28.2875,82.95833333,395.625,1.6,0.197962812,18.9195573,0,32.79583333,Monsoon
9/24/2022,27.6875,46.1,6.966666667,0.537549078,-6.306734103,28.57916667,80.04166667,457.9166667,0,0.263496969,23.3543073,0,29.375,Monsoon
9/25/2022,36.2375,80.1,4.641666667,2.701858872,-1.140911973,28.025,84.08333333,364.1666667,1,0.272412504,21.7018091,0,27.57916667,Monsoon
9/26/2022,54.88333333,88.5,3.320833333,0.076743153,-0.765183425,27.79166667,86.66666667,313.9583333,12.4,0.294782663,22.15901156,0,16.3,Monsoon
9/27/2022,51.40416667,97.8,3.708333333,0.317173112,-2.050368219,27.77916667,85.41666667,300.2083333,7.2,0.423328284,26.49179289,0,10.7375,Monsoon
9/28/2022,67.44166667,104.3,4.145833333,1.052310799,-1.167897292,27.8625,87.04166667,323.125,11.5,0.347182937,22.0197699,0,12.95833333,Monsoon
9/29/2022,46.51666667,76.4,5.420833333,0.748857718,4.439865416,29.08333333,82.75,405.2083333,3.1,0.384363671,37.04379947,0,20.35416667,Monsoon
9/30/2022,46.10416667,68,6.7125,-3.074733688,5.504854966,29.775,78.33333333,389.5833333,0,0.334945302,34.1776361,0,24.275,Monsoon
10/1/2022,64.275,108,5.591666667,0.400937139,0.064448268,29.45833333,82.25,314.7916667,7,0.360521499,36.18684966,0,27.6875,Post_Monsoon
10/2/2022,62.50833333,117.6,7.479166667,4.630132734,-4.860511934,27.14583333,87.16666667,270.2083333,24.2,0.273070999,24.94681741,0,36.2375,Post_Monsoon
10/3/2022,14.825,20,12.1125,9.781979306,-6.013094729,25.85416667,91.33333333,382.0833333,37.5,0.132369338,16.68091787,0,54.88333333,Post_Monsoon
10/4/2022,20.45833333,29.1,7.358333333,4.102038962,-4.061620191,27.5,84.08333333,378.125,11.2,0.135767488,13.8454228,0,51.40416667,Post_Monsoon
10/5/2022,22.77083333,36.2,7.054166667,5.34116058,-2.16468355,27.90416667,81.29166667,336.875,2.3,0.115220881,13.31950626,0,67.44166667,Post_Monsoon
10/6/2022,21.3125,26.1,8.25,1.747548224,-7.518961689,27.50416667,85.125,374.1666667,4.1,0.105232046,10.05296713,0,46.51666667,Post_Monsoon
10/7/2022,37.25,89.4,3.658333333,-0.514977731,-0.301743729,28.59166667,79,375.4166667,0,0.088932613,8.311491034,0,46.10416667,Post_Monsoon
10/8/2022,59.99166667,114.8,4.433333333,-2.446126474,-2.183088827,28.8125,79.375,326.4583333,4.5,0.198123686,20.33787093,0,64.275,Post_Monsoon
10/9/2022,39.1625,61.2,5.620833333,1.304331809,-2.639595481,28.10416667,84.45833333,346.25,3.3,0.184460782,15.34037923,0,62.50833333,Post_Monsoon
